studentId,password,name,gender,enrollmentYear,className,major,college
20210001,123456,何雪,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210002,123456,黄亮,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210003,123456,王磊,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210004,123456,何军,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210005,123456,李敏3,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210006,123456,王敏3,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210007,123456,徐超2,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210008,123456,朱丽,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210009,123456,林婷,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210010,123456,孙军,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210011,123456,王静,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210012,123456,马梅0,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210013,123456,吴芳,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210014,123456,周燕2,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210015,123456,高丽5,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210016,123456,陈燕,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210017,123456,孙芳3,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210018,123456,郑燕4,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210019,123456,周雪,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210020,123456,何伟,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210021,123456,刘雪5,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210022,123456,陈磊,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210023,123456,吴杰,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210024,123456,李鹏,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210025,123456,黄涛9,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210026,123456,李超,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210027,123456,马琳7,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210028,123456,罗鹏7,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210029,123456,高雪1,女,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210030,123456,郑勇,男,2021,计算机科学与技术2101班,计算机科学与技术,信息工程学院
20210031,123456,马婷,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210032,123456,林磊,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210033,123456,高燕0,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210034,123456,陈娜,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210035,123456,李强,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210036,123456,何燕,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210037,123456,马强,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210038,123456,徐超,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210039,123456,林强3,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210040,123456,陈军4,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210041,123456,马鹏2,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210042,123456,马梅2,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210043,123456,王琳8,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210044,123456,胡超6,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210045,123456,林雪9,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210046,123456,何杰9,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210047,123456,朱超6,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210048,123456,高超,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210049,123456,陈静3,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210050,123456,郑涛1,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210051,123456,郑梅,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210052,123456,何敏0,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210053,123456,林鹏,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210054,123456,杨鹏7,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210055,123456,朱芳,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210056,123456,张军,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210057,123456,周燕6,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210058,123456,王敏,男,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210059,123456,马强3,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210060,123456,马燕,女,2021,计算机科学与技术2102班,计算机科学与技术,信息工程学院
20210061,123456,杨鹏,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210062,123456,林静9,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210063,123456,周鹏,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210064,123456,林伟0,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210065,123456,陈磊,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210066,123456,罗婷,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210067,123456,孙伟9,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210068,123456,胡杰9,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210069,123456,王琳7,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210070,123456,吴鹏7,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210071,123456,林涛4,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210072,123456,周鹏,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210073,123456,张梅1,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210074,123456,黄磊,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210075,123456,高鹏,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210076,123456,郑鹏5,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210077,123456,赵琳,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210078,123456,吴丽,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210079,123456,高敏5,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210080,123456,吴军5,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210081,123456,孙军6,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210082,123456,张军7,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210083,123456,郑伟5,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210084,123456,林磊,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210085,123456,林强2,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210086,123456,周鹏5,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210087,123456,张燕2,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210088,123456,李杰6,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210089,123456,刘琳,男,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210090,123456,马杰4,女,2021,计算机科学与技术2103班,计算机科学与技术,信息工程学院
20210091,123456,杨丽5,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210092,123456,杨超6,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210093,123456,罗磊,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210094,123456,周娜,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210095,123456,郑军4,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210096,123456,陈雪,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210097,123456,周娜,女,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210098,123456,罗鹏8,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210099,123456,刘梅,女,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210100,123456,孙婷,女,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210101,123456,孙涛,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210102,123456,徐敏3,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210103,123456,王婷8,女,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210104,123456,陈勇,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210105,123456,郑杰0,女,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210106,123456,王伟2,男,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210107,123456,郑伟,女,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
20210108,123456,何静,女,2021,计算机科学与技术2104班,计算机科学与技术,信息工程学院
